Yksikkö,Tuottaja,Sijainti,Sektori,Palvelutyyppi,Palvelu eri vuorokauden aikoina: Arki - yö,Palvelu eri vuorokauden aikoina: Viikonloppu - yö,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan: Saada tukea ulkoiluun viikoittain,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan:  Järjestetty mielekästä tekemistä ja harrastusmahdollisuuksia,Sijaisten järjestämisen onnistuminen: Sijaisia vaikea saada,Erillinen kotihoitoa tukeva: Kotiutustiimi,Erillinen kotihoitoa tukeva: Kuntoutustiimi,Erillinen kotihoitoa tukeva: Saattohoitotiimi,"Suunniteltu hoivatyöhön osallistuva henkilöstö, vakanssit","Toteutunut hoivatyöhön osallistuva henkilöstö, vakanssit työtunneista laskettuna"
Haukivuoren kotihoito,Mikkelin seutu-sote,Mikkeli,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"14,85","12,00"
Hirvensalmen kotihoito,Mikkelin seutu-sote,Mikkeli,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"9,20","7,47"
Mikkelin Hoivapalvelu Pelakuu Oy,Mikkelin Hoivapalvelu Pelakuu Oy,Mikkeli,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"9,20","6,54"
Mikkelin kotihoitopalvelut,Mikkeli,Mikkeli,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Kyllä,"110,05","69,54"
Ristiinan ja Suomenniemen kotihoito,Mikkeli,Mikkeli,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"31,00",
Muhoksen kotihoito,Muhos,Muhos,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"26,00","21,52"
Multian kotihoito,Multia,Multia,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"13,55","9,53"
Kotipalvelu,Muonio,Muonio,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"5,00","3,32"
"Kotisairaanhoito, Muonio",Muonion-Enontekiön ktt.ky,Muonio,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"1,00","1,00"
Korsholms hemsjukvård,Mustasaari,Mustasaari,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Ei yhtäkään,Ei yhtäkään,Joskus,Kyllä,Kyllä,Kyllä,"15,04","14,50"
Kvevlax hemservice,Mustasaari,Mustasaari,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"12,65","9,19"
Norra Korsholms hemservice,Mustasaari,Mustasaari,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"10,65","8,07"
Replot hemservice,Mustasaari,Mustasaari,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"9,05","6,92"
Smedsby hemservice,Mustasaari,Mustasaari,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"21,55","11,88"
Solf hemservice,Mustasaari,Mustasaari,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"5,50","5,81"
Solhörnan servicehus,Mustasaari,Mustasaari,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Kyllä,Ei,"11,70","7,45"
Södra och östra Korsholms hemservice,Mustasaari,Mustasaari,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"11,33","10,42"
Muuramen kotihoito,Muurame,Muurame,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"11,20","9,37"
Kotihoito / Mynämäki,Peruspalveluky Akseli,Mynämäki,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"16,00","12,07"
Kotihoito / Mileas,Peruspalveluky Akseli,Mynämäki,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"11,50","9,75"
Myrskylän kotihoito,PHSOTEY / Aava,Myrskylä,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Ei,Ei,"10,55","8,79"
Naantalin kotihoito,Naantali,Naantali,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Ei,Ei,Ei,"49,80","44,02"
"Kotipalvelu, Vanhustentalo ja Ruskilankoti",Nakkila,Nakkila,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"12,85","8,67"
Nakkilan kotisairaanhoito,Keski-Satakunnan th:n ky,Nakkila,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Ei yhtäkään,Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"3,55","3,18"
Alina Hoivatiimi Kust Österbotten,Care Trading oy,Närpiö,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Jatkuvasti,Ei,Ei,Ei,"1,60",
Bostället serviceboende,Närpiö,Närpiö,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Kyllä,Kyllä,"10,51","9,09"
Hemvård norra området,Närpiö,Närpiö,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,"18,59","17,02"
Hemvård södra området ,Närpiö,Närpiö,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Kyllä,"18,50","16,76"
Nastolan kotihoito,PHSOTEY / Aava,Nastola,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"29,80","27,25"
Tukipalvelut,Manna ry,Nastola,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Ei koskaan,Kyllä,Ei,Ei,"1,65","1,69"
Niva-Onni,Peruspalveluky Kallio,Nivala,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"5,00","4,19"
Nivalan kotihoito,Peruspalveluky Kallio,Nivala,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Usein,Ei,Ei,Kyllä,"32,00","25,17"
Etelä-Nokian kotihoito,Nokia,Nokia,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"25,70","10,09"
Keski-Nokian kotihoito 1,Nokia,Nokia,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"20,70","22,25"
Keski-Nokian kotihoito 2,Nokia,Nokia,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,"20,45","18,74"
Kotihoito Pirkanmaa,Mainio Vire Oy,Nokia,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Usein,Kyllä,Kyllä,Ei,"6,10","0,28"
Pohjois-Nokian kotihoito,Nokia,Nokia,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"24,70","21,26"
"Suverena Oy, Koti- hoito- ja hoivapalvelut",Suverena Oy,Nokia,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"2,40","1,71"
Kotihoito / Nousiainen,Peruspalveluky Akseli,Nousiainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"7,10","7,30"
Kotipalvelu,Nurmes,Nurmes,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Ei,Ei,"37,00","32,88"
Kotisairaanhoito,Nurmeksen ja Valtimon ktt:n ky,Nurmes,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"4,00","1,13"
"Nurmeskoti 1, kotipalvelu",Nurmeskotiyhdistys ry,Nurmes,Yksityinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei koskaan,Ei,Ei,Ei,"4,40","1,77"
Aitohoiva Oy,Aitohoiva Oy,Nurmijärvi,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"5,20","1,17"
Kirkonkylän kotihoito,Nurmijärvi,Nurmijärvi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"29,00","27,61"
Klaukkalan kotihoito,Nurmijärvi,Nurmijärvi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"25,00","21,36"
Rajamäen kotihoito,Nurmijärvi,Nurmijärvi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"18,00","15,75"
Orimattilasn seudun kotihoito,PHSOTEY / Aava,Orimattila,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Ei,Ei,"35,90","29,38"
Oripään kotihoito,Oripää,Oripää,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"5,60","5,47"
Oulainen kotihoito,Oulainen,Oulainen,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"28,80","28,44"
Caritas Kotihoito,Caritas-Säätiö,Oulu,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Ei,Kyllä,"24,00","23,70"
Eteläinen kotihoito,Oulu,Oulu,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"163,20","99,57"
Finecare Oy / kotihoito,Finecare Oy,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei koskaan,Kyllä,Kyllä,Kyllä,"0,90","0,71"
H10 Kymppipalvelut Oulun seutu,H10 Kymppipalvelut Oy,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Kyllä,"17,15","11,15"
Haukiputaan kotihoito,Oulu,Oulu,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Kyllä,Kyllä,"37,00","28,52"
"Hilipakka Palvelut, Oulu",Hilipakka Palvelut Oy,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Ei yhtäkään,Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"11,00","9,61"
Keskustan palvelutalojen kotihoito,Oulun Palvelusäätiö,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"15,80","13,84"
Kiimingin kotihoito,Oulu,Oulu,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Kyllä,"14,85","13,26"
Koti- ja hoivapalvelut Liljankukka ky,Koti- ja hoivapalvelut Liljankukka ky,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Joskus,Kyllä,Kyllä,Kyllä,"16,10","12,38"
Kotipalvelut Oulun kaupungin alueella,Ektakompus Oy,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"5,75","2,17"
Metsolakodit,Metsolan Kotihoito Oy,Oulu,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Ei,"25,00","19,27"
Mäntykodin kotihoito,Oulun Seudun Mäntykoti ry,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"21,50","10,89"
Osuuskunta Oulun Kotihoiva,Osuuskunta Oulun Kotihoiva,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"8,45","4,46"
Oulun kotihoito,Coronaria Hoitoketju Oy,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"8,00","6,85"
Oulunsalo-Kaakuri kotihoito,Oulu,Oulu,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"10,00","9,39"
Pohjoinen kotihoito,Oulu,Oulu,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Ei,Kyllä,"119,20","94,23"
Pohjois-Suomen Kotiapu ja Hoitopalvelut Oy,Pohjois-Suomen Kotiapu ja Hoitopalvelut Oy,Oulu,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"15,75","12,96"
Tmi Pirjo Tukkiniemi-Palvelut,Tmi Pirjo Tukkiniemi-Palvelut,Oulu,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"4,40",
Yli-Iin kotihoito,Oulu,Oulu,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Kyllä,"8,85","7,46"
Ylikiimingin kotihoito,Oulu,Oulu,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Kyllä,"11,85","7,66"
Outokumpu kotihoito,Joensuun yhteistoiminta-alue,Outokumpu,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"37,05","35,64"
Padasjoen kotihoito,Peruspalvelukeskus Oiva,Padasjoki,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Ei,Ei,Ei,"11,00","10,32"
Paimion kotihoito,Paimio,Paimio,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei yhtäkään,Joskus,Ei,Kyllä,Ei,"21,50","21,91"
Pälkäneen kotihoito,Kangasala,Pälkäne,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"31,05","20,19"
Paltamon kotihoito,Kainuun sosiaali- ja terveyskuntayhtymä,Paltamo,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Ei,"27,40","23,85"
Grannas servicehus,Parainen,Parainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"6,00","4,98"
Houtskärin kotihoito,Parainen,Parainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"11,00","7,83"
Iniön kotihoito,Parainen,Parainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Jatkuvasti,Kyllä,Kyllä,Ei,"3,20","0,08"
Korpo hemvård,Parainen,Parainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"3,00","1,38"
Nagu hemvård,Parainen,Parainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"6,00","4,98"
"Parainen kotihoito, Tennby",Parainen,Parainen,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"18,00","16,43"
Paraisten kotihoito KSH,Parainen,Parainen,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"12,75","10,92"
"Paraisten kotihoito, Parsby",Parainen,Parainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"14,20","10,36"
Kotihoito / Parikkala,EKSOTE,Parikkala,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"33,05","26,85"
Saaren palvelutalo / Rinnetupa,EKSOTE,Parikkala,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"10,10","8,96"
Parkanon kotihoito,Parkano,Parkano,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"26,05","23,12"
